policy,seed,tasks,edge_pct,cloud_pct,avg_latency,p95_latency,avg_energy,violation_pct,avg_edge_backlog,avg_cloud_backlog,edge_pred_mae,edge_naive_mae,cloud_pred_mae,cloud_naive_mae,arima_pred_mae,arima_naive_mae,burst_tasks,burst_violation_pct,burst_avg_latency,calm_tasks,calm_violation_pct,calm_avg_latency
threshold,500,500,82.4,17.6,0.5932784359890599,2.3205037291231894,0.5364852994646148,15.2,0.21962126747608537,0.03423744959529065,0.2423274068507842,0.18406699135393673,0.10143177629843803,0.05963105420652441,0.0,0.0,384,19.010416666666668,0.6835143513388982,116,2.586206896551724,0.2945664403482166
reactive,500,500,67.6,32.4,0.5803874931365968,1.649426104166666,0.3703241416135252,6.6,0.5854463502575422,0.010675449350012264,0.4033286209159123,0.2897979433406917,0.02836761366495675,0.01810623963698798,0.0,0.0,384,8.59375,0.6772369411580831,116,0.0,0.2597824238240902
naive_persistence,500,500,67.6,32.4,0.5813581736892134,1.6589524583333333,0.36715709163117516,6.2,0.5785030215231788,0.011104015207260239,0.40218052807493726,0.28961622516556296,0.02997102961689816,0.0193513178807947,0.0,0.0,384,8.072916666666666,0.6792058842255863,116,0.0,0.25744851122397894
arima,500,500,67.6,32.4,0.5813581736892134,1.6589524583333333,0.36715709163117516,6.2,0.5785030215231788,0.011104015207260239,0.40218052807493726,0.28961622516556296,0.02997102961689816,0.0193513178807947,0.28554431530765656,0.28961622516556296,384,8.072916666666666,0.6792058842255863,116,0.0,0.25744851122397894
predictive,500,500,67.0,33.0,0.5781178380558439,1.6589524583333333,0.3691196568696979,6.2,0.5739722774098601,0.011594491047338729,0.4021486630617488,0.28866347866077996,0.030824900907111513,0.02015186926661761,0.0,0.0,384,8.072916666666666,0.675301633071358,116,0.0,0.25640596490103823
edge_only,613,500,100.0,0.0,1.8778407541666668,4.688809291666666,0.26146960175000006,54.0,1.6963180090408807,0.0,0.4292809012666062,0.3406302505896226,0.03322899340668474,0.0,0.0,0.0,378,52.116402116402114,1.776204474206349,122,59.83606557377049,2.192746605191257
cloud_only,613,500,0.0,100.0,0.8942984425846242,2.431119331446821,0.9666322459036447,17.4,0.0,0.08339688312368973,0.13884972244936125,0.0,0.1096867899651059,0.10840739884696016,0.0,0.0,378,21.95767195767196,1.051193991662929,122,3.278688524590164,0.40817944626004066
threshold,613,500,81.2,18.8,0.6135572791208102,2.3813924462885816,0.543146031857434,14.2,0.2278289072327044,0.04188383647798742,0.2548341613460747,0.19100872838050315,0.12191518725054445,0.07151171016771489,0.0,0.0,378,16.402116402116402,0.6825608561226162,122,7.377049180327869,0.39975931103324674
reactive,613,500,65.0,35.0,0.5955722668615363,1.7959978333333313,0.38180186880951206,6.2,0.6570174970518866,0.014841477987421383,0.4561839175463379,0.3135109964622642,0.03502560799244803,0.024092194444444447,0.0,0.0,378,8.201058201058201,0.684747110813942,122,0.0,0.31927643887785256
naive_persistence,613,500,64.4,35.6,0.5913916142191306,1.816250625,0.3811303305054604,6.2,0.6551766420990566,0.015137707023060795,0.4579233817152898,0.31617418238993716,0.03518609289320833,0.024459689203354295,0.0,0.0,378,8.201058201058201,0.6815660677353,122,0.0,0.31199863529198246
arima,613,500,64.4,35.6,0.5913916142191306,1.816250625,0.3811303305054604,6.2,0.6551766420990566,0.015137707023060795,0.4579233817152898,0.31617418238993716,0.03518609289320833,0.024459689203354295,0.3143181557383042,0.31617418238993716,378,8.201058201058201,0.6815660677353,122,0.0,0.31199863529198246
